time_slot_s,scenario,slice_type,ue_count,traffic_load_mbps,rsrp_dbm,sinr_db,prb_demanded,tx_power_dbm,conflict_flag,conflict_type,rdl_action,sla_met
2.82,rdl_phase1,mMTC,33,34.82,-103.91,4.26,143,38.31,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
3.02,baseline,URLLC,22,41.2,-109.27,3.89,269,43.0,1,DIRECT_PRB,NONE_UNMANAGED,0
3.02,rdl_phase1,URLLC,22,81.54,-88.14,10.78,227,30.1,1,DIRECT_PRB,QOS_BOOST_URLLC,1
3.22,baseline,eMBB,18,69.2,-82.89,16.81,171,38.96,0,NONE,NONE_UNMANAGED,1
3.22,rdl_phase1,eMBB,24,83.9,-99.75,24.54,167,34.86,0,NONE,ALLOW_REGULAR,1
3.42,baseline,mMTC,30,84.94,-87.02,4.95,64,35.99,1,POWER_OVERLOAD,NONE_UNMANAGED,0
3.42,rdl_phase1,mMTC,23,49.77,-94.88,12.11,266,31.64,0,NONE,ALLOW_REGULAR,1
3.62,baseline,URLLC,34,39.26,-105.75,6.54,223,39.92,0,NONE,NONE_UNMANAGED,1
3.62,rdl_phase1,URLLC,21,87.72,-77.84,7.8,190,32.21,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
3.83,baseline,eMBB,22,79.86,-90.48,6.15,252,37.53,1,DIRECT_PRB,NONE_UNMANAGED,0
3.83,rdl_phase1,eMBB,27,33.19,-105.39,18.7,76,39.65,0,NONE,ALLOW_REGULAR,1
4.03,baseline,mMTC,29,60.47,-80.58,18.85,220,43.0,1,DIRECT_PRB,NONE_UNMANAGED,0
4.03,rdl_phase1,mMTC,15,60.67,-99.59,15.0,206,30.94,1,DIRECT_PRB,QOS_BOOST_URLLC,1
4.23,baseline,URLLC,26,70.9,-83.36,5.68,155,43.0,0,NONE,NONE_UNMANAGED,1
4.23,rdl_phase1,URLLC,22,39.73,-84.57,24.81,153,31.94,0,NONE,ALLOW_REGULAR,1
4.43,baseline,eMBB,24,72.6,-99.12,19.07,95,43.0,0,NONE,NONE_UNMANAGED,1
4.43,rdl_phase1,eMBB,16,48.43,-82.57,14.75,135,38.48,0,NONE,ALLOW_REGULAR,1
4.63,baseline,mMTC,26,79.66,-102.91,24.04,170,43.0,0,NONE,NONE_UNMANAGED,1
4.63,rdl_phase1,mMTC,30,31.91,-99.3,22.16,150,31.25,0,NONE,ALLOW_REGULAR,1
4.83,baseline,URLLC,29,55.89,-84.73,22.38,203,34.13,0,NONE,NONE_UNMANAGED,1
4.83,rdl_phase1,URLLC,22,34.27,-108.98,5.84,237,37.94,0,NONE,ALLOW_REGULAR,1
5.03,baseline,eMBB,34,52.19,-79.4,13.73,52,35.8,0,NONE,NONE_UNMANAGED,1
5.03,rdl_phase1,eMBB,34,64.85,-88.88,17.56,131,36.02,0,NONE,ALLOW_REGULAR,1
5.23,baseline,mMTC,33,59.86,-107.3,3.35,158,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
5.23,rdl_phase1,mMTC,20,36.79,-81.12,13.97,222,31.47,0,NONE,ALLOW_REGULAR,1
5.44,baseline,URLLC,31,54.72,-106.9,7.07,269,43.0,0,NONE,NONE_UNMANAGED,1
5.44,rdl_phase1,URLLC,25,78.69,-99.52,5.99,247,36.36,1,DIRECT_PRB,QOS_BOOST_URLLC,1
5.64,baseline,eMBB,30,34.26,-85.99,24.8,173,35.72,0,NONE,NONE_UNMANAGED,1
5.64,rdl_phase1,eMBB,30,36.23,-90.21,24.53,52,30.26,0,NONE,ALLOW_REGULAR,1
5.84,baseline,mMTC,31,66.86,-89.47,18.05,158,43.0,0,NONE,NONE_UNMANAGED,1
5.84,rdl_phase1,mMTC,33,40.74,-94.96,22.07,142,34.62,0,NONE,ALLOW_REGULAR,1
6.04,baseline,URLLC,34,84.21,-93.96,13.11,119,43.0,0,NONE,NONE_UNMANAGED,1
6.04,rdl_phase1,URLLC,21,92.31,-78.17,19.94,149,37.66,0,NONE,ALLOW_REGULAR,1
6.24,baseline,eMBB,28,68.82,-105.26,19.28,201,30.13,1,DIRECT_PRB,NONE_UNMANAGED,0
6.24,rdl_phase1,eMBB,26,23.57,-108.73,8.34,232,39.06,0,NONE,ALLOW_REGULAR,1
6.44,baseline,mMTC,24,41.76,-83.42,12.34,254,31.56,0,NONE,NONE_UNMANAGED,1
6.44,rdl_phase1,mMTC,18,22.69,-107.81,22.85,234,33.46,0,NONE,ALLOW_REGULAR,1
6.64,baseline,URLLC,32,52.89,-97.84,22.7,259,43.0,0,NONE,NONE_UNMANAGED,1
6.64,rdl_phase1,URLLC,25,97.07,-90.39,23.55,219,38.28,1,DIRECT_PRB,QOS_BOOST_URLLC,1
6.85,baseline,eMBB,28,78.47,-75.65,7.9,180,43.0,0,NONE,NONE_UNMANAGED,1
6.85,rdl_phase1,eMBB,19,65.23,-93.76,24.36,177,39.67,0,NONE,ALLOW_REGULAR,1
7.05,baseline,mMTC,23,21.76,-84.8,11.61,120,43.0,0,NONE,NONE_UNMANAGED,1
7.05,rdl_phase1,mMTC,15,61.87,-105.98,21.78,235,35.43,1,DIRECT_PRB,QOS_BOOST_URLLC,1
7.25,baseline,URLLC,21,76.63,-90.98,3.88,247,43.0,1,DIRECT_PRB,NONE_UNMANAGED,0
7.25,rdl_phase1,URLLC,24,33.26,-76.9,21.55,115,30.98,0,NONE,ALLOW_REGULAR,1
7.45,baseline,eMBB,30,52.94,-87.22,14.54,137,43.0,0,NONE,NONE_UNMANAGED,1
7.45,rdl_phase1,eMBB,20,84.51,-93.93,3.2,112,34.97,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
7.65,baseline,mMTC,21,89.77,-90.93,19.44,165,43.0,0,NONE,NONE_UNMANAGED,1
7.65,rdl_phase1,mMTC,22,90.23,-79.21,22.02,204,39.47,1,DIRECT_PRB,QOS_BOOST_URLLC,1
7.85,baseline,URLLC,22,98.8,-82.98,2.62,202,33.44,1,DIRECT_PRB,NONE_UNMANAGED,0
7.85,rdl_phase1,URLLC,26,63.1,-92.58,4.43,229,34.52,1,DIRECT_PRB,QOS_BOOST_URLLC,1
8.05,baseline,eMBB,32,27.47,-94.56,6.5,61,43.0,0,NONE,NONE_UNMANAGED,1
8.05,rdl_phase1,eMBB,23,66.21,-87.79,20.35,96,31.96,0,NONE,ALLOW_REGULAR,1
8.26,baseline,mMTC,28,62.64,-104.47,18.01,61,36.13,0,NONE,NONE_UNMANAGED,1
8.26,rdl_phase1,mMTC,27,92.49,-100.31,24.62,210,35.98,1,DIRECT_PRB,QOS_BOOST_URLLC,1
8.46,baseline,URLLC,22,91.52,-87.1,5.5,53,43.0,0,NONE,NONE_UNMANAGED,1
8.46,rdl_phase1,URLLC,28,26.68,-79.12,20.48,95,33.2,0,NONE,ALLOW_REGULAR,1
8.66,baseline,eMBB,15,53.42,-75.56,17.36,62,39.97,0,NONE,NONE_UNMANAGED,1
8.66,rdl_phase1,eMBB,19,64.78,-91.54,18.55,211,32.1,1,DIRECT_PRB,QOS_BOOST_URLLC,1
8.86,baseline,mMTC,19,97.88,-98.21,8.82,227,37.6,1,DIRECT_PRB,NONE_UNMANAGED,0
8.86,rdl_phase1,mMTC,25,92.1,-87.19,9.22,265,34.94,1,DIRECT_PRB,QOS_BOOST_URLLC,1
9.06,baseline,URLLC,17,90.39,-91.61,7.62,205,43.0,1,DIRECT_PRB,NONE_UNMANAGED,0
9.06,rdl_phase1,URLLC,15,39.19,-105.03,10.0,224,31.91,0,NONE,ALLOW_REGULAR,1
9.26,baseline,eMBB,25,72.09,-88.27,10.1,118,43.0,0,NONE,NONE_UNMANAGED,1
9.26,rdl_phase1,eMBB,29,40.32,-108.91,19.0,211,33.25,0,NONE,ALLOW_REGULAR,1
9.46,baseline,mMTC,22,20.31,-86.14,5.84,197,38.37,0,NONE,NONE_UNMANAGED,1
9.46,rdl_phase1,mMTC,17,75.53,-92.06,9.02,240,30.69,1,DIRECT_PRB,QOS_BOOST_URLLC,1
9.66,baseline,URLLC,28,80.74,-78.37,7.35,186,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
9.66,rdl_phase1,URLLC,27,91.91,-87.22,22.11,268,35.6,1,DIRECT_PRB,QOS_BOOST_URLLC,1
9.87,baseline,eMBB,16,55.76,-93.89,21.88,121,34.13,0,NONE,NONE_UNMANAGED,1
9.87,rdl_phase1,eMBB,28,58.33,-109.37,11.69,63,39.18,0,NONE,ALLOW_REGULAR,1
10.07,baseline,mMTC,30,76.62,-75.95,21.0,68,43.0,0,NONE,NONE_UNMANAGED,1
10.07,rdl_phase1,mMTC,34,98.54,-88.25,14.86,173,38.29,0,NONE,ALLOW_REGULAR,1
10.27,baseline,URLLC,33,89.82,-106.06,18.18,110,32.63,0,NONE,NONE_UNMANAGED,1
10.27,rdl_phase1,URLLC,23,20.99,-93.59,8.93,252,30.74,0,NONE,ALLOW_REGULAR,1
10.47,baseline,eMBB,23,43.99,-83.99,3.11,117,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
10.47,rdl_phase1,eMBB,16,73.42,-89.24,22.52,176,36.26,0,NONE,ALLOW_REGULAR,1
10.67,baseline,mMTC,30,39.16,-82.19,2.8,84,37.89,1,POWER_OVERLOAD,NONE_UNMANAGED,0
10.67,rdl_phase1,mMTC,19,40.18,-102.29,13.23,250,39.1,0,NONE,ALLOW_REGULAR,1
10.87,baseline,URLLC,18,89.48,-107.74,23.98,57,43.0,0,NONE,NONE_UNMANAGED,1
10.87,rdl_phase1,URLLC,29,26.58,-78.13,12.68,64,36.02,0,NONE,ALLOW_REGULAR,1
11.07,baseline,eMBB,34,55.47,-88.75,16.52,69,43.0,0,NONE,NONE_UNMANAGED,1
11.07,rdl_phase1,eMBB,33,38.99,-92.07,4.4,199,37.87,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
11.28,baseline,mMTC,17,72.18,-76.73,15.81,232,43.0,1,DIRECT_PRB,NONE_UNMANAGED,0
11.28,rdl_phase1,mMTC,22,70.73,-107.52,7.85,194,30.4,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
11.48,baseline,URLLC,20,23.65,-105.1,8.37,242,34.73,0,NONE,NONE_UNMANAGED,1
11.48,rdl_phase1,URLLC,17,35.69,-88.62,8.46,105,35.91,0,NONE,ALLOW_REGULAR,1
11.68,baseline,eMBB,20,88.33,-108.27,21.17,197,33.39,1,POWER_OVERLOAD,NONE_UNMANAGED,0
11.68,rdl_phase1,eMBB,31,37.48,-96.11,3.02,58,38.17,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
11.88,baseline,mMTC,31,69.37,-106.02,9.94,216,43.0,1,DIRECT_PRB,NONE_UNMANAGED,0
11.88,rdl_phase1,mMTC,21,59.48,-85.42,24.83,126,39.29,0,NONE,ALLOW_REGULAR,1
12.08,baseline,URLLC,27,51.57,-95.24,11.45,249,43.0,0,NONE,NONE_UNMANAGED,1
12.08,rdl_phase1,URLLC,27,68.63,-99.17,20.95,152,39.54,0,NONE,ALLOW_REGULAR,1
12.28,baseline,eMBB,19,20.13,-87.73,3.18,224,36.04,1,DIRECT_PRB,NONE_UNMANAGED,0
12.28,rdl_phase1,eMBB,32,40.54,-86.71,20.41,213,33.69,0,NONE,ALLOW_REGULAR,1
12.48,baseline,mMTC,33,67.71,-90.76,22.71,125,33.55,0,NONE,NONE_UNMANAGED,1
12.48,rdl_phase1,mMTC,21,53.01,-87.39,16.87,100,35.94,0,NONE,ALLOW_REGULAR,1
12.68,baseline,URLLC,24,60.17,-105.14,4.66,88,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
12.68,rdl_phase1,URLLC,34,71.03,-84.07,14.19,180,35.34,0,NONE,ALLOW_REGULAR,1
12.89,baseline,eMBB,22,85.6,-85.68,14.25,114,33.99,0,NONE,NONE_UNMANAGED,1
12.89,rdl_phase1,eMBB,19,29.84,-90.45,9.89,72,38.17,0,NONE,ALLOW_REGULAR,1
13.09,baseline,mMTC,20,87.65,-85.76,11.89,148,35.43,0,NONE,NONE_UNMANAGED,1
13.09,rdl_phase1,mMTC,20,83.12,-94.38,20.36,244,34.5,1,DIRECT_PRB,QOS_BOOST_URLLC,1
13.29,baseline,URLLC,26,93.33,-94.92,9.33,97,33.7,0,NONE,NONE_UNMANAGED,1
13.29,rdl_phase1,URLLC,18,51.44,-91.6,13.77,205,34.31,0,NONE,ALLOW_REGULAR,1
13.49,baseline,eMBB,18,23.58,-83.33,23.77,68,36.46,0,NONE,NONE_UNMANAGED,1
13.49,rdl_phase1,eMBB,17,47.25,-107.49,11.42,98,31.01,0,NONE,ALLOW_REGULAR,1
13.69,baseline,mMTC,19,62.49,-80.54,15.35,114,31.67,0,NONE,NONE_UNMANAGED,1
13.69,rdl_phase1,mMTC,32,58.85,-109.04,13.63,124,31.36,0,NONE,ALLOW_REGULAR,1
13.89,baseline,URLLC,28,22.48,-96.42,5.68,99,31.47,0,NONE,NONE_UNMANAGED,1
13.89,rdl_phase1,URLLC,24,92.01,-105.94,23.99,150,34.74,0,NONE,ALLOW_REGULAR,1
14.09,baseline,eMBB,20,68.24,-81.07,24.63,126,43.0,0,NONE,NONE_UNMANAGED,1
14.09,rdl_phase1,eMBB,34,22.48,-76.02,19.79,118,31.54,0,NONE,ALLOW_REGULAR,1
14.3,baseline,mMTC,31,62.58,-104.11,7.68,136,33.02,0,NONE,NONE_UNMANAGED,1
14.3,rdl_phase1,mMTC,27,35.57,-107.98,9.88,70,39.66,0,NONE,ALLOW_REGULAR,1
14.5,baseline,URLLC,21,63.59,-104.22,15.41,174,36.26,0,NONE,NONE_UNMANAGED,1
14.5,rdl_phase1,URLLC,25,36.58,-82.62,18.9,131,36.23,0,NONE,ALLOW_REGULAR,1
14.7,baseline,eMBB,33,36.1,-96.17,2.91,194,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
14.7,rdl_phase1,eMBB,33,30.59,-89.24,15.78,103,35.33,0,NONE,ALLOW_REGULAR,1
14.9,baseline,mMTC,26,23.04,-83.89,14.63,54,43.0,0,NONE,NONE_UNMANAGED,1
14.9,rdl_phase1,mMTC,34,57.34,-108.79,24.3,164,34.63,0,NONE,ALLOW_REGULAR,1
15.1,baseline,URLLC,30,27.49,-83.59,13.31,232,32.86,0,NONE,NONE_UNMANAGED,1
15.1,rdl_phase1,URLLC,15,65.02,-94.56,15.93,241,34.92,1,DIRECT_PRB,QOS_BOOST_URLLC,1
15.3,baseline,eMBB,32,78.06,-78.69,12.49,141,43.0,0,NONE,NONE_UNMANAGED,1
15.3,rdl_phase1,eMBB,29,65.88,-76.54,6.61,122,30.59,0,NONE,ALLOW_REGULAR,1
15.5,baseline,mMTC,27,55.13,-80.36,22.54,196,32.56,0,NONE,NONE_UNMANAGED,1
15.5,rdl_phase1,mMTC,19,60.83,-88.07,23.31,257,37.63,1,DIRECT_PRB,QOS_BOOST_URLLC,1
15.7,baseline,URLLC,25,89.76,-91.55,16.55,70,38.04,0,NONE,NONE_UNMANAGED,1
15.7,rdl_phase1,URLLC,17,36.86,-76.49,2.2,68,32.01,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
15.91,baseline,eMBB,31,27.18,-109.92,3.02,85,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
15.91,rdl_phase1,eMBB,15,25.52,-109.8,23.55,237,36.59,0,NONE,ALLOW_REGULAR,1
16.11,baseline,mMTC,15,87.67,-88.52,4.04,58,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
16.11,rdl_phase1,mMTC,28,52.6,-95.75,3.52,148,35.49,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
16.31,baseline,URLLC,28,84.66,-76.83,3.66,110,38.69,1,POWER_OVERLOAD,NONE_UNMANAGED,0
16.31,rdl_phase1,URLLC,16,26.15,-92.48,20.27,193,34.78,0,NONE,ALLOW_REGULAR,1
16.51,baseline,eMBB,16,25.83,-95.9,8.79,83,38.03,0,NONE,NONE_UNMANAGED,1
16.51,rdl_phase1,eMBB,28,32.19,-100.68,2.51,102,38.42,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
16.71,baseline,mMTC,31,71.24,-75.74,15.88,102,37.6,0,NONE,NONE_UNMANAGED,1
16.71,rdl_phase1,mMTC,31,77.58,-79.66,12.44,249,35.55,1,DIRECT_PRB,QOS_BOOST_URLLC,1
16.91,baseline,URLLC,34,74.61,-101.53,18.42,102,43.0,0,NONE,NONE_UNMANAGED,1
16.91,rdl_phase1,URLLC,18,31.43,-82.86,8.24,168,31.59,0,NONE,ALLOW_REGULAR,1
17.11,baseline,eMBB,16,30.71,-87.97,3.25,253,31.03,1,DIRECT_PRB,NONE_UNMANAGED,0
17.11,rdl_phase1,eMBB,31,60.89,-108.36,8.35,87,38.96,0,NONE,ALLOW_REGULAR,1
17.32,baseline,mMTC,32,57.36,-98.09,23.63,113,31.02,0,NONE,NONE_UNMANAGED,1
17.32,rdl_phase1,mMTC,15,30.39,-90.23,21.93,245,37.89,0,NONE,ALLOW_REGULAR,1
17.52,baseline,URLLC,29,95.44,-95.22,10.68,105,43.0,0,NONE,NONE_UNMANAGED,1
17.52,rdl_phase1,URLLC,19,29.28,-108.52,14.99,109,36.33,0,NONE,ALLOW_REGULAR,1
17.72,baseline,eMBB,24,31.13,-101.1,22.14,150,43.0,0,NONE,NONE_UNMANAGED,1
17.72,rdl_phase1,eMBB,26,30.37,-86.34,23.71,250,31.05,0,NONE,ALLOW_REGULAR,1
17.92,baseline,mMTC,33,70.75,-75.02,4.41,97,38.66,1,POWER_OVERLOAD,NONE_UNMANAGED,0
17.92,rdl_phase1,mMTC,17,56.62,-102.69,10.48,154,30.52,0,NONE,ALLOW_REGULAR,1
18.12,baseline,URLLC,23,34.88,-90.68,11.56,179,36.57,0,NONE,NONE_UNMANAGED,1
18.12,rdl_phase1,URLLC,25,78.44,-87.33,20.31,136,36.08,0,NONE,ALLOW_REGULAR,1
18.32,baseline,eMBB,16,51.58,-77.42,4.89,52,36.45,1,POWER_OVERLOAD,NONE_UNMANAGED,0
18.32,rdl_phase1,eMBB,22,57.45,-89.73,3.96,62,30.58,1,POWER_OVERLOAD,QOS_BOOST_URLLC,1
18.52,baseline,mMTC,24,63.5,-106.5,17.83,62,33.37,0,NONE,NONE_UNMANAGED,1
18.52,rdl_phase1,mMTC,31,29.95,-95.52,13.34,160,33.3,0,NONE,ALLOW_REGULAR,1
18.72,baseline,URLLC,26,67.61,-109.65,12.67,171,43.0,0,NONE,NONE_UNMANAGED,1
18.72,rdl_phase1,URLLC,20,80.98,-94.08,8.15,258,35.21,1,DIRECT_PRB,QOS_BOOST_URLLC,1
18.93,baseline,eMBB,26,30.04,-109.41,19.71,271,31.82,0,NONE,NONE_UNMANAGED,1
18.93,rdl_phase1,eMBB,21,21.4,-99.73,19.78,235,32.23,0,NONE,ALLOW_REGULAR,1
19.13,baseline,mMTC,26,20.11,-99.51,16.87,184,43.0,0,NONE,NONE_UNMANAGED,1
19.13,rdl_phase1,mMTC,33,21.89,-78.55,20.01,266,32.91,0,NONE,ALLOW_REGULAR,1
19.33,baseline,URLLC,27,51.84,-99.4,3.51,206,34.84,1,DIRECT_PRB,NONE_UNMANAGED,0
19.33,rdl_phase1,URLLC,29,24.78,-86.49,15.39,153,39.43,0,NONE,ALLOW_REGULAR,1
19.53,baseline,eMBB,19,62.46,-87.22,16.83,81,33.66,0,NONE,NONE_UNMANAGED,1
19.53,rdl_phase1,eMBB,26,69.58,-78.64,21.49,94,32.76,0,NONE,ALLOW_REGULAR,1
19.73,baseline,mMTC,27,84.89,-87.74,10.93,205,43.0,1,DIRECT_PRB,NONE_UNMANAGED,0
19.73,rdl_phase1,mMTC,15,47.62,-77.89,8.68,237,35.39,0,NONE,ALLOW_REGULAR,1
19.93,baseline,URLLC,23,75.2,-85.85,23.4,133,43.0,0,NONE,NONE_UNMANAGED,1
19.93,rdl_phase1,URLLC,25,23.57,-95.45,8.94,64,33.54,0,NONE,ALLOW_REGULAR,1
20.13,baseline,eMBB,28,26.1,-100.39,20.56,259,43.0,0,NONE,NONE_UNMANAGED,1
20.13,rdl_phase1,eMBB,28,54.63,-108.46,5.81,142,34.81,0,NONE,ALLOW_REGULAR,1
20.34,baseline,mMTC,27,24.0,-80.47,24.57,126,43.0,0,NONE,NONE_UNMANAGED,1
20.34,rdl_phase1,mMTC,26,96.85,-103.11,23.88,97,34.07,0,NONE,ALLOW_REGULAR,1
20.54,baseline,URLLC,26,40.76,-94.71,15.65,104,30.13,0,NONE,NONE_UNMANAGED,1
20.54,rdl_phase1,URLLC,20,35.21,-82.26,22.88,147,36.98,0,NONE,ALLOW_REGULAR,1
20.74,baseline,eMBB,25,61.72,-75.79,19.42,190,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
20.74,rdl_phase1,eMBB,18,39.79,-87.58,17.33,236,39.6,0,NONE,ALLOW_REGULAR,1
20.94,baseline,mMTC,32,81.73,-92.54,2.28,123,43.0,1,POWER_OVERLOAD,NONE_UNMANAGED,0
20.94,rdl_phase1,mMTC,24,84.38,-108.39,20.59,153,38.48,0,NONE,ALLOW_REGULAR,1
21.14,baseline,URLLC,22,84.66,-101.12,7.65,142,36.62,0,NONE,NONE_UNMANAGED,1
21.14,rdl_phase1,URLLC,24,92.11,-104.62,24.77,83,39.93,0,NONE,ALLOW_REGULAR,1
21.34,baseline,eMBB,21,49.74,-96.26,19.35,212,34.44,0,NONE,NONE_UNMANAGED,1
21.34,rdl_phase1,eMBB,28,69.76,-75.26,10.89,230,33.59,1,DIRECT_PRB,QOS_BOOST_URLLC,1
21.54,baseline,mMTC,18,87.78,-78.42,22.18,197,35.06,1,POWER_OVERLOAD,NONE_UNMANAGED,0
21.54,rdl_phase1,mMTC,25,80.14,-102.0,24.0,71,38.67,0,NONE,ALLOW_REGULAR,1
21.74,baseline,URLLC,27,37.99,-94.9,18.54,105,43.0,0,NONE,NONE_UNMANAGED,1
21.74,rdl_phase1,URLLC,17,46.11,-80.61,5.31,248,38.94,0,NONE,ALLOW_REGULAR,1
21.95,baseline,eMBB,21,87.67,-95.97,19.55,72,34.98,0,NONE,NONE_UNMANAGED,1
21.95,rdl_phase1,eMBB,34,36.36,-101.06,8.8,161,38.55,0,NONE,ALLOW_REGULAR,1
22.15,baseline,mMTC,28,25.69,-107.58,23.64,214,30.95,0,NONE,NONE_UNMANAGED,1
22.15,rdl_phase1,mMTC,22,23.81,-84.56,19.8,73,36.55,0,NONE,ALLOW_REGULAR,1
22.35,baseline,URLLC,17,61.25,-93.78,3.04,165,30.38,1,POWER_OVERLOAD,NONE_UNMANAGED,0
22.35,rdl_phase1,URLLC,23,20.0,-95.42,14.02,150,37.23,0,NONE,ALLOW_REGULAR,1
22.55,baseline,eMBB,22,38.09,-99.35,8.99,52,43.0,0,NONE,NONE_UNMANAGED,1
22.55,rdl_phase1,eMBB,29,35.29,-99.15,18.83,213,37.42,0,NONE,ALLOW_REGULAR,1
22.75,baseline,mMTC,19,80.73,-88.66,22.61,150,43.0,0,NONE,NONE_UNMANAGED,1
22.75,rdl_phase1,mMTC,33,34.53,-97.02,22.74,167,34.06,0,NONE,ALLOW_REGULAR,1
22.95,baseline,URLLC,30,80.34,-96.24,15.58,65,35.44,0,NONE,NONE_UNMANAGED,1
22.95,rdl_phase1,URLLC,24,21.65,-100.58,13.9,258,39.52,0,NONE,ALLOW_REGULAR,1
23.15,baseline,eMBB,24,58.55,-97.34,23.83,160,43.0,0,NONE,NONE_UNMANAGED,1
23.15,rdl_phase1,eMBB,19,28.2,-92.02,13.7,85,39.72,0,NONE,ALLOW_REGULAR,1
23.36,baseline,mMTC,16,75.78,-85.0,12.62,50,31.25,0,NONE,NONE_UNMANAGED,1
23.36,rdl_phase1,mMTC,31,22.47,-108.18,5.27,119,33.36,0,NONE,ALLOW_REGULAR,1
23.56,baseline,URLLC,34,32.59,-105.84,19.59,161,43.0,0,NONE,NONE_UNMANAGED,1
23.56,rdl_phase1,URLLC,15,44.96,-93.11,13.65,145,37.34,0,NONE,ALLOW_REGULAR,1
